No,日付,開始時間,終了時間,対応時間,UserID,機種,性別,相談内容,対応内容,特記事項,担当,場所,インポート日
11,2026-01-22,11:25:00,11:45:00,00:20:00,396-827-154,Android AQUOS sense4,女性,友達紹介の方法がわからない。お友達にも勧めたい。,アプリのメニューから「友達紹介」を開き紹介コードの表示方法を説明。LINEでの共有方法を実演。紹介特典についても案内。,,田中,デモ市民サービスセンター,2026-01-22 18:00:00
12,2026-01-22,13:00:00,13:45:00,00:45:00,241-596-873,Android OPPO A55s,女性,アプリを消してしまった。データは戻るか心配。,アプリを再インストール。ユーザーIDと生年月日からデータ引継ぎを実施。ポイント・歩数履歴が復元されたことを確認しご安心いただいた。,ご家族と一緒に来所。家族にも再インストール手順を説明しメモを取っていただいた。,鈴木,デモ市民サービスセンター,2026-01-22 18:00:00
13,2026-02-05,10:00:00,10:50:00,00:50:00,715-348-962,Android arrows FCG02,女性,新規登録。スマホを持って間もないので一から教えてほしい。,Playストアの開き方から説明。アプリインストール・アカウント作成・初期設定を実施。歩数計設定（バッテリー最適化OFF）も完了。基本操作（タップ・スワイプ・戻る）も併せて案内。,スマホ自体が初めてのお客様。ゆっくり丁寧に対応。2週間後にまた来所予定。,佐藤,デモ市民サービスセンター,2026-02-05 18:00:00
14,2026-02-05,11:00:00,11:25:00,00:25:00,482-917-635,Android AQUOS sense4,女性,スライドパズルの攻略法を教えてほしい。前回脳トレが楽しかったので。,スライドパズルアシストのアイコンを作成しホーム画面に配置。L型の作り方を紙に書いて説明。実際に3×3を一緒にクリア。,同じお客様3回目。歩数問題は今回再発なし。脳トレに意欲的。,田中,デモ市民サービスセンター,2026-02-05 18:00:00
15,2026-02-05,11:30:00,11:50:00,00:20:00,639-184-527,Android Galaxy A25,男性,QRコードが読み取れない。イベント会場でスタンプを押したかったができなかった。,カメラアプリの設定でQRコード読み取り機能がOFFになっていたのでONに変更。アプリ内のQRコードリーダーの使い方も説明。テスト用QRで読み取り成功を確認。,,鈴木,デモ市民サービスセンター,2026-02-05 18:00:00
16,2026-02-05,13:00:00,13:35:00,00:35:00,947-362-518,Android arrows FCG02,女性,前回教えてもらったスライドパズルがクリアできた。次は4×4に挑戦したい。,4×4パズルの攻略法（上2段→右2列→残り2×2）を説明。一緒に挑戦。途中でつまずいたがアシスト機能を使ってクリア。,同じお客様2回目。前回の3×3をクリアして意欲が高い。,佐藤,デモ市民サービスセンター,2026-02-05 18:00:00
17,2026-02-12,10:00:00,10:30:00,00:30:00,753-284-196,iPhone SE (第3世代),女性,歩数が実際より少ない。万歩計と比べて500歩くらい差がある。,iPhoneのヘルスケアアプリで歩数を確認。「脳にいいアプリ」の歩数はヘルスケアから取得しているため端末側の問題と判断。再起動後に歩数取得が安定したことを確認。,自宅にWi-Fiがないとのこと。通信環境の影響の可能性あり。,田中,デモ市民サービスセンター,2026-02-12 18:00:00
18,2026-02-12,10:35:00,11:10:00,00:35:00,428-763-591,京セラ BASIO4,女性,アプリを開いても何も動かない。タップしても反応しない。,アプリを強制終了→再起動で改善せず。端末の電源を切って再起動したところ正常動作。メモリ不足が原因の可能性があるため、使っていないアプリのバックグラウンド終了方法を説明。,らくらくスマホのため操作が通常と異なる部分あり。電源ボタン長押しの場所がわからなかった。,鈴木,デモ市民サービスセンター,2026-02-12 18:00:00
19,2026-02-12,11:15:00,11:55:00,00:40:00,362-948-175,Android Pixel 8a,男性,機種変更したらデータが消えた。前の端末を下取りに出してしまいIDがわからない。,ユーザーIDを失念。ニックネーム・生年月日・登録時の名前をヒアリングしたがスタッフWebでの確認が必要なため本部へエスカレーション。,エスカレ対応。遠山様に確認依頼。ニックネーム「ピクセルおじさん」生年月日1955/03/12で照会依頼。後日回答予定と案内。,佐藤,デモ市民サービスセンター,2026-02-12 18:00:00
20,2026-02-12,13:00:00,13:20:00,00:20:00,619-853-274,Android OPPO A55s,女性,前回歩数の設定をしてもらったが調子がいい。検診ポイントを付けてほしい。,健診結果と本人確認書類を確認しポイントを付与。付与後のポイント残高を一緒に確認。,検診ポイント付与。健診結果（2025年12月受診分）を確認済み。,田中,デモ市民サービスセンター,2026-02-12 18:00:00
21,2026-02-19,10:00:00,10:30:00,00:30:00,527-196-843,Android AQUOS sense4,女性,歩数が途中で止まる。午後になると全然増えなくなる。,①歩数計設定を開き省電力→標準に設定変更 ②自動調整バッテリーをOFF ③バッテリー最適化を「最適化しない」に変更 ④再起動。省電力モードが午後に自動でONになるスケジュール設定があったので解除。,,鈴木,デモ市民サービスセンター,2026-02-19 18:00:00
22,2026-02-19,10:35:00,11:05:00,00:30:00,185-729-463,京セラ BASIO4,女性,前回文字を大きくしてもらったが脳トレの文字はまだ小さい。,脳トレ画面を確認。アプリ内のフォントサイズは端末設定に連動するため端末の文字サイズを最大に変更。ただし一部の画面は固定サイズのため限界があることを説明。,アプリ側の文字サイズ対応について要望として記録。開発にフィードバック予定→エスカレ。,佐藤,デモ市民サービスセンター,2026-02-19 18:00:00
23,2026-02-19,11:10:00,11:30:00,00:20:00,841-375-629,Android Galaxy A25,男性,まちえみの使い方を知りたい。,まちえみ機能の画面を開き操作方法を説明。笑顔判定の仕組みと得点の見方を案内。実際にカメラで試していただきスコアが表示されることを確認。,,田中,デモ市民サービスセンター,2026-02-19 18:00:00
24,2026-02-19,13:00:00,13:25:00,00:25:00,396-827-154,Android AQUOS sense4,女性,検診ポイントを付けてほしい。特定健診を受けた。,健診結果と本人証明を確認しポイントを付与。付与完了画面をお見せして確認。,,鈴木,デモ市民サービスセンター,2026-02-19 18:00:00
25,2026-02-26,10:00:00,10:40:00,00:40:00,715-348-962,Android arrows FCG02,女性,2週間前に登録してもらった。歩数が少なく感じるので見てほしい。,バッテリー最適化設定を確認→問題なし。歩数計アプリと比較→誤差は100歩程度で正常範囲内。歩幅設定がデフォルトのままだったので身長から適切な値に変更。,前回登録時のお客様2回目の来所。順調に使えている様子。,佐藤,デモ市民サービスセンター,2026-02-26 18:00:00
26,2026-02-26,10:45:00,11:25:00,00:40:00,294-681-537,Android AQUOS sense4,女性,アプリが「通信エラー」と出て使えない。自宅でもここでも同じ。,Wi-Fi接続状態を確認→正常。アプリのキャッシュクリアを実施→改善せず。アプリをアンインストールし再インストール。IDと生年月日からデータ引継ぎを実施しログイン成功。正常動作を確認。,エスカレ対応。端末のOSが古い（Android 10）。OSアップデートを案内したがストレージ不足でできず。遠山様に報告済み。,田中,デモ市民サービスセンター,2026-02-26 18:00:00
27,2026-02-26,13:00:00,13:15:00,00:15:00,841-375-629,Android Galaxy A25,男性,まちえみのスコアが保存されていない気がする。,履歴画面を確認→正常に保存されていた。表示の仕方がわかりづらかったとのこと。履歴の見方とカレンダー表示を説明。,,鈴木,デモ市民サービスセンター,2026-02-26 18:00:00
28,2026-03-05,10:00:00,10:35:00,00:35:00,482-917-635,Android AQUOS sense4,女性,はっちお〜じさんの出し方を教えてほしい。お友達の画面に出ていたので。,「脳にいいアプリ」ではデモ市のキャラクターは未対応であることを説明。代わりにウォーキングキャラクターの設定方法を案内。キャラ変更を実施。,同じお客様4回目。リピーターとして定着。毎回楽しんで来所される。,佐藤,デモ市民サービスセンター,2026-03-05 18:00:00
29,2026-03-05,10:40:00,11:20:00,00:40:00,176-524-893,iPhone SE (第3世代),女性,新規登録希望。お友達に紹介された。紹介コードも持ってきた。,App Storeからインストール。アカウント作成時に紹介コードを入力。初期設定・ヘルスケア連携・歩数取得の許可設定まで完了。紹介元にもポイントが入ることを説明。,,田中,デモ市民サービスセンター,2026-03-05 18:00:00
30,2026-03-05,13:00:00,13:30:00,00:30:00,571-438-926,Android Galaxy A25,女性,機種変更後にアプリの通知が来なくなった。,通知設定を確認→アプリの通知権限がOFFだったのでONに変更。バッテリー最適化でバックグラウンド動作が制限されていたので「最適化しない」に変更。再起動して設定を反映。,前回機種変更対応したお客様の2回目来所。Galaxy A25に変えてからの設定漏れ。,鈴木,デモ市民サービスセンター,2026-03-05 18:00:00
